Report ID,Animal Species,Symptoms,Necropsy Findings,Diagnoses,Etiological Agents,SNOMED_species,SNOMED_diagnosis,SNOMED_symptoms,SNOMED_pathogens
37,"Horse (specifically, a stock horse)",Depression Inappetence Port wine urine (indicative of hemolysis),"Extensive fibrosis of the liver Megalocytosis Regenerative nodules in the liver Elevated kidney and liver copper levels (4 and 3 times normal limits, respectively)",Copper toxicity Intravascular haemolysis,Pyrrolizidine alkaloids Copper (from lick blocks),"{""SNOMED_species_term"": ""horse"", ""SNOMED_species_code"": ""35354009""}","{""SNOMED_diagnosis_term"": ""intravascular coagulation"", ""SNOMED_diagnosis_code"": ""67406007""}","[{""term"": ""depression"", ""code"": ""35489007""}]",[]
38,Bottlenosed dolphin,"None explicitly mentioned, but the animal was found washed up on a beach, suggesting possible stranding or death prior to washing up.",Large multilobular masses on the diaphragmatic surface of the liver Masses on the caudal lung Involvement of the mesenteric lymph nodes Severe peritonitis Numerous abdominal abscesses Extensive adhesions involving all organs in the lower abdomen Uterus distended with approximately 1.5 litres of fluid,Lymphosarcoma (well-differentiated) Peritonitis (cause unknown),"None identified, although the cause of the peritonitis could not be determined. The lymphosarcoma is a diagnosis, but the underlying cause or etiological agent is not specified.","{""SNOMED_species_term"": null, ""SNOMED_species_code"": null}","{""SNOMED_diagnosis_term"": null, ""SNOMED_diagnosis_code"": null}","[{""term"": ""sudden death"", ""code"": ""27942005""}]",[]
39,Sheep,Scouring (diarrhea),"Presence of Trichostrongylus axei worms in the abomasum Total Worm Counts: Case 1: 4150 (including 1020 T.axei, 2340 L4, and 740 immatures) and 59760 (including 10,515 T.axei, 43110 L4's, and 6135 immatures) Case 2: 110 (including 660 T.axei, 400 L4's, and 50 immatures) and 12280 (including 10880 T.axei, 900 ostertagia, 200 L4's, and 300 immatures)",Trichostrongylus axei infection,Trichostrongylus axei (a parasitic nematode worm),"{""SNOMED_species_term"": ""sheep"", ""SNOMED_species_code"": ""125097000""}","{""SNOMED_diagnosis_term"": null, ""SNOMED_diagnosis_code"": null}","[{""term"": ""diarrhoea"", ""code"": ""62315008""}]",[]
40,"Sheep (specifically, lambs)","Lameness, fractured femur, fragile bones, healing rib fractures, footrot lesions, myocardial necrosis",Fractured femur in one lamb Very fragile bones in all lambs Healing rib fractures in two lambs Score 2 footrot lesions in all lambs Focal areas of myocardial necrosis in one lamb Low plasma glutathione peroxidase levels and liver selenium levels in all lambs Low liver copper levels and high liver iron levels in all lambs,"Osteoporosis (possible) Copper deficiency (possible, but unlikely) Selenium deficiency (possible)","Poor nutrition (possible) Low milk intake (possible) Heavy intestinal parasitism (possible) High iron intake (possible, potentially inducing low copper levels) Copper deficiency (possible, but unlikely) Selenium deficiency (possible)","{""SNOMED_species_term"": ""sheep"", ""SNOMED_species_code"": ""125097000""}","{""SNOMED_diagnosis_term"": null, ""SNOMED_diagnosis_code"": null}",[],[]
41,Rabbits,Stiffness Eyes rolling back in the head Sudden death,Extremely fat Multiple pinpoint white foci distributed throughout the liver Focal areas of necrosis surrounded by polymorph infiltrates Bacterial colonies in the sinusoids,Focal areas of necrosis in the liver Bacterial infection,Pasteurella multocida (bacteria),"{""SNOMED_species_term"": ""rabbit"", ""SNOMED_species_code"": ""74892005""}","{""SNOMED_diagnosis_term"": ""hendra virus infection"", ""SNOMED_diagnosis_code"": ""442439002""}","[{""term"": ""sudden death"", ""code"": ""27942005""}]","[{""term"": ""pasteurella multocida"", ""code"": ""52584002""}]"
42,Layer hens,Recent drop in production by about 8% 20% increase in the prevalence of thin shells Wing joints appear necrotic,Extensive purplish and green discolouration of tissues around the scapulo-humeral and femoro-tibial joints Periarticular haemorrhage and subsequent degradation of extravasated blood Avulsion of the proximal tuberosities of the humeri and lateral condyles of the femurs Separation of the entire distal end of the femur from the shaft (in one case),Vitamin/mineral deficiency or imbalance (suspected) Skeletal fractures (multiple),"Vitamin/mineral deficiency or imbalance (suspected, no specific agent identified)","{""SNOMED_species_term"": null, ""SNOMED_species_code"": null}","{""SNOMED_diagnosis_term"": null, ""SNOMED_diagnosis_code"": null}",[],[]
43,Cow (cattle),"Not explicitly mentioned, but the cow was tested and diagnosed with Johne's Disease (JD)",Intestinal lesion typical of Johne's Disease Many acid-fast bacilli present in the intestinal lesion No gross or histological lesions suggestive of JD in the three slaughtered cows from the Tennant Creek district,Johne's Disease (JD) Possible exposure to avian mycobacteria (speculative),"Mycobacterium avium subsp. paratuberculosis (causative agent of Johne's Disease) Avian mycobacteria (possible, based on speculation about serological test results)","{""SNOMED_species_term"": ""cattle"", ""SNOMED_species_code"": ""34618005""}","{""SNOMED_diagnosis_term"": ""avian pulmonary tuberculosis"", ""SNOMED_diagnosis_code"": ""232156003""}",[],"[{""term"": ""mycobacterium avium"", ""code"": ""29686008""}]"
44,Dog,"Found dead in the morning No prior symptoms mentioned, but the owner was worried because the dog was apparently healthy before death","Six red tumours in the skin (mm to cm size) Haemopericardium Red tumours in many organs and tissues Multiple tumours in the spleen (mm to 8cm diameter) Tumours in the mesentery, near the intestines, and in the intestinal wall Multiple small tumours in the lung One large tumour (8cm) in the wall of the left atrium Torn epicardium overlying the tumour in the left atrium Heartworms in the right pulmonary artery",Haemopericardium (considered the immediate cause of death) Haemangiosarcomas (microscopic examination revealed),"Haemangiosarcomas (primary cause of disease and death) Heartworms (presence noted, but not considered the primary cause of death)","{""SNOMED_species_term"": ""dog"", ""SNOMED_species_code"": ""448771007""}","{""SNOMED_diagnosis_term"": null, ""SNOMED_diagnosis_code"": null}","[{""term"": ""sudden death"", ""code"": ""27942005""}]",[]
45,Saltwater crocodile (Crocodylus porosus),Not thriving Worms crawling out of the mouth Deep ulcerations in the stomach wall (up to 4cm in diameter),"Presence of worms (Geoeltascaris australiensis) in the stomach Adult nematodes (about 20) in the stomach contents Plugs of material (composed of nematodes, cellular debris, and exudate) in the stomach ulcers and free in the stomach contents",Infestation with Geoeltascaris australiensis Deep ulcerations in the stomach wall,Geoeltascaris australiensis (nematode parasite),"{""SNOMED_species_term"": ""crocodile"", ""SNOMED_species_code"": ""25295006""}","{""SNOMED_diagnosis_term"": null, ""SNOMED_diagnosis_code"": null}",[],[]
46,"Cattle (sentinel herd, export steers) Insects (Culicoides brevitarsis, C. brevitarsus, C. actoni, C. wadai, C. fulvus)",Clinical cases of Bovine Ephemeral Fever (BEF) Rejection for export due to BEF,"None explicitly mentioned in the report, as the focus is on virus isolation and serology.",Bluetongue serotype 1 Bluetongue serotype 21 EHD 5 EHD 1 Bovine Ephemeral Fever (BEF),Bluetongue virus (serotypes 1 and 21) EHD virus (serotypes 1 and 5) Bovine Ephemeral Fever virus Culicoides species (vectors for Bluetongue virus),"{""SNOMED_species_term"": ""cattle"", ""SNOMED_species_code"": ""34618005""}","{""SNOMED_diagnosis_term"": ""infectious bovine rhinotracheitis"", ""SNOMED_diagnosis_code"": ""10608251000119103""}","[{""term"": ""fever"", ""code"": ""386661006""}]",[]
